"Country Name","Country Code","gdp_1990","gdp_2015","im_1990","im_2015"
"Nicaragua","NIC","1941.27358414488","5282.03008410592","51.3","17.3"
"Niger","NER","577.984104872672","955.586810179751","132.7","52.3"
"Nigeria","NGA","1965.82799564736","6037.69743267637","126.2","69"
"Norway","NOR","18431.3122880029","62053.2129177293","7","2.2"
"Oman","OMN","22648.6754265365","42737.1283088951","31.8","9.3"
"Pakistan","PAK","1974.51729399558","4998.75825382771","106.2","65.7"
"Panama","PAN","5051.53376684478","22012.5380284579","25.8","14.5"
"Paraguay","PRY","3901.57169991159","9198.50407606803","37.1","17.6"
"Peru","PER","3433.76363438188","12529.2282314486","56.7","12.4"
"Philippines","PHL","2591.92658615797","7319.57126210605","40.8","22.1"
"Poland","POL","6175.23010538164","26855.7746653802","15.2","4.2"
"Portugal","PRT","11762.110073811","29687.7903809113","11.5","2.9"
"Romania","ROU","5258.96909471748","22070.5305184639","24.5","7.8"
"Russian Federation","RUS","8012.80231687333","23702.8444594834","18.4","6.8"
"Rwanda","RWA","559.001546316668","1826.95568711276","92.6","30.4"
"Samoa","WSM","2358.56247871515","5918.6100248584","25.8","15.2"
"Saudi Arabia","SAU","27441.4361809996","54007.036187194","35.8","11.4"
"Senegal","SEN","1190.54078197363","2445.40837585875","71.8","34.8"
"Seychelles","SYC","9188.61300054011","27177.174079471","14.4","12.5"
"Sierra Leone","SLE","808.288067520116","1401.24808762314","155.5","86.2"
"Singapore","SGP","22194.8873698605","86128.1725077818","6.2","2.1"
"Solomon Islands","SLB","1158.63534708848","2186.35699417691","31.1","22.2"
"South Africa","ZAF","6397.74171085152","13229.6246256756","44.6","35.5"
"Spain","ESP","13626.4458519977","34696.3362086457","7.4","2.8"
"Sri Lanka","LKA","2369.18570799747","11777.8718399751","17.9","8.3"
"St. Kitts and Nevis","KNA","9259.51272745352","25681.5366343646","26","8"
"St. Lucia","LCA","5877.10301967911","11368.5282536151","17.6","12.1"
"St. Vincent and the Grenadines","VCT","3604.04947447735","11140.3498888459","20.2","15.7"
"Sudan","SDN","1126.84678033842","4568.08615240843","82","45.9"
"Suriname","SUR","6815.59519847733","15722.6475757639","39.8","18.4"
"Swaziland","SWZ","3476.08720736784","8575.05738522317","50.3","53.1"
